"station.id","month","tmean.normal","tmax.normal","tmin.normal","ppt.normal","snow.normal","year.range"
"USC00170100",1,-5.22222222222222,-0.333333333333334,-10.1666666666667,4.91,17,"1981-2010"
"USC00170100",2,-3.27777777777778,1.66666666666667,-8.22222222222222,4.35,16.8,"1981-2010"
"USC00170100",3,0.666666666666668,5.33333333333333,-4,5.39,15.5,"1981-2010"
"USC00170100",4,6.77777777777778,11.8333333333333,1.66666666666667,4.78,4.7,"1981-2010"
"USC00170100",5,12.6111111111111,18.3333333333333,6.94444444444444,4.64,NA,"1981-2010"
"USC00170100",6,17.7777777777778,23.4444444444444,12.0555555555556,4.12,0,"1981-2010"
"USC00170100",7,20.6666666666667,26.1666666666667,15.1666666666667,3.5,0,"1981-2010"
"USC00170100",8,20.3888888888889,25.7777777777778,14.9444444444444,3.31,0,"1981-2010"
"USC00170100",9,16.2222222222222,21.3888888888889,11.1111111111111,4.45,0,"1981-2010"
"USC00170100",10,10.1666666666667,14.8333333333333,5.55555555555556,5.31,0.2,"1981-2010"
"USC00170100",11,4.72222222222222,8.94444444444444,0.555555555555556,6.47,3,"1981-2010"
"USC00170100",12,-1.5,2.88888888888889,-5.94444444444444,5.49,14.6,"1981-2010"
