"UnitCode","UnitName","long","lat","ppt","tmax","tmin","tmean","year","month"
"ACAD","Acadia National Park",-68.26019,44.376559,133.98046875,-0.4697265625,-12.849609375,-6.66015625,1899,1
"ACAD","Acadia National Park",-68.26019,44.376559,101.8701171875,-2.7998046875,-11.8701171875,-7.33984375,1899,2
"ACAD","Acadia National Park",-68.26019,44.376559,166.5302734375,2.009765625,-7.580078125,-2.7900390625,1899,3
"ACAD","Acadia National Park",-68.26019,44.376559,29.7001953125,12.1796875,-1.4599609375,5.3603515625,1899,4
"ACAD","Acadia National Park",-68.26019,44.376559,66.2998046875,15.91015625,3.509765625,9.7099609375,1899,5
"ACAD","Acadia National Park",-68.26019,44.376559,41.7001953125,21.91015625,10,15.9599609375,1899,6
"ACAD","Acadia National Park",-68.26019,44.376559,146.7099609375,23.4697265625,12.3798828125,17.9296875,1899,7
"ACAD","Acadia National Park",-68.26019,44.376559,19.1396484375,22,10.849609375,16.4296875,1899,8
"ACAD","Acadia National Park",-68.26019,44.376559,93.7900390625,18.51953125,7.099609375,12.8095703125,1899,9
"ACAD","Acadia National Park",-68.26019,44.376559,76.0703125,14.6904296875,2.48046875,8.58984375,1899,10
"ACAD","Acadia National Park",-68.26019,44.376559,140.419921875,6,-2.599609375,1.7001953125,1899,11
"ACAD","Acadia National Park",-68.26019,44.376559,69.1904296875,2.3603515625,-6.7900390625,-2.2197265625,1899,12
"ACAD","Acadia National Park",-68.26019,44.376559,268.7900390625,0.6904296875,-12.3798828125,-5.849609375,1900,1
"ACAD","Acadia National Park",-68.26019,44.376559,185.169921875,-1.009765625,-11.1201171875,-6.0703125,1900,2
"ACAD","Acadia National Park",-68.26019,44.376559,212.6396484375,3.1103515625,-7.900390625,-2.400390625,1900,3
"ACAD","Acadia National Park",-68.26019,44.376559,78.75,11.7197265625,0.3798828125,6.0498046875,1900,4
"ACAD","Acadia National Park",-68.26019,44.376559,173.33984375,13.9599609375,2.7998046875,8.3798828125,1900,5
"ACAD","Acadia National Park",-68.26019,44.376559,87.2099609375,22.0595703125,9.91015625,15.990234375,1900,6
"ACAD","Acadia National Park",-68.26019,44.376559,42.7001953125,24.41015625,13.2001953125,18.8095703125,1900,7
"ACAD","Acadia National Park",-68.26019,44.376559,52.2099609375,24.2900390625,13.0302734375,18.66015625,1900,8
"ACAD","Acadia National Park",-68.26019,44.376559,76.650390625,20.2197265625,9.5400390625,14.8798828125,1900,9
"ACAD","Acadia National Park",-68.26019,44.376559,167.01953125,14.8603515625,6.0302734375,10.4501953125,1900,10
"ACAD","Acadia National Park",-68.26019,44.376559,153.650390625,7.6103515625,-1.1298828125,3.240234375,1900,11
"ACAD","Acadia National Park",-68.26019,44.376559,60.3798828125,-0.2802734375,-10.150390625,-5.2197265625,1900,12
"ACAD","Acadia National Park",-68.26019,44.376559,116.1103515625,-3.5595703125,-12.5,-8.0302734375,1901,1
"ACAD","Acadia National Park",-68.26019,44.376559,45.8603515625,-3.8603515625,-13.7900390625,-8.830078125,1901,2
"ACAD","Acadia National Park",-68.26019,44.376559,252.3603515625,2.7802734375,-6.240234375,-1.73046875,1901,3
"ACAD","Acadia National Park",-68.26019,44.376559,154.990234375,9.7197265625,1.01953125,5.3701171875,1901,4
"ACAD","Acadia National Park",-68.26019,44.376559,75.48046875,14.6904296875,4.8896484375,9.7900390625,1901,5
"ACAD","Acadia National Park",-68.26019,44.376559,37.330078125,20.8701171875,9.26953125,15.0703125,1901,6
"ACAD","Acadia National Park",-68.26019,44.376559,47.4697265625,24.150390625,13.3095703125,18.73046875,1901,7
"ACAD","Acadia National Park",-68.26019,44.376559,84.1396484375,22.66015625,12.5498046875,17.6103515625,1901,8
"ACAD","Acadia National Park",-68.26019,44.376559,79.099609375,20.4296875,9.2001953125,14.8203125,1901,9
"ACAD","Acadia National Park",-68.26019,44.376559,89.7099609375,13.650390625,2.9296875,8.2900390625,1901,10
"ACAD","Acadia National Park",-68.26019,44.376559,94.4296875,4.0400390625,-4.099609375,-0.0302734375,1901,11
"ACAD","Acadia National Park",-68.26019,44.376559,248.7001953125,1.4599609375,-8.099609375,-3.3203125,1901,12
"ACAD","Acadia National Park",-68.26019,44.376559,104.099609375,-1,-12.6796875,-6.83984375,1902,1
"ACAD","Acadia National Park",-68.26019,44.376559,94.7900390625,0.349609375,-9.98046875,-4.8203125,1902,2
"ACAD","Acadia National Park",-68.26019,44.376559,361.98046875,7.4296875,-2.25,2.58984375,1902,3
"ACAD","Acadia National Park",-68.26019,44.376559,81.169921875,10.3896484375,1.1904296875,5.7900390625,1902,4
"ACAD","Acadia National Park",-68.26019,44.376559,70.419921875,15.8798828125,3.8095703125,9.849609375,1902,5
"ACAD","Acadia National Park",-68.26019,44.376559,214.4404296875,19.2099609375,7.900390625,13.5595703125,1902,6
"ACAD","Acadia National Park",-68.26019,44.376559,41.8798828125,23.1201171875,11.8203125,17.4697265625,1902,7
"ACAD","Acadia National Park",-68.26019,44.376559,93.349609375,21.5703125,11.759765625,16.669921875,1902,8
"ACAD","Acadia National Park",-68.26019,44.376559,60.3798828125,18.8603515625,9.5498046875,14.2099609375,1902,9
"ACAD","Acadia National Park",-68.26019,44.376559,130.150390625,13.0498046875,3.150390625,8.099609375,1902,10
"ACAD","Acadia National Park",-68.26019,44.376559,49.16015625,8.2802734375,-0.5595703125,3.8603515625,1902,11
"ACAD","Acadia National Park",-68.26019,44.376559,187.3603515625,-1.2802734375,-11.3095703125,-6.2998046875,1902,12
"ACAD","Acadia National Park",-68.26019,44.376559,147.4296875,-1.4404296875,-11.6396484375,-6.5400390625,1903,1
"ACAD","Acadia National Park",-68.26019,44.376559,137.91015625,-0.099609375,-9.6796875,-4.8896484375,1903,2
"ACAD","Acadia National Park",-68.26019,44.376559,252.6201171875,7.1103515625,-2.419921875,2.349609375,1903,3
"ACAD","Acadia National Park",-68.26019,44.376559,106.0595703125,10.3896484375,-0.3798828125,5.009765625,1903,4
"ACAD","Acadia National Park",-68.26019,44.376559,41.2197265625,16.5,4.7099609375,10.6103515625,1903,5
"ACAD","Acadia National Park",-68.26019,44.376559,78.25,17.330078125,8.1298828125,12.73046875,1903,6
"ACAD","Acadia National Park",-68.26019,44.376559,95,22.01953125,11.8203125,16.919921875,1903,7
"ACAD","Acadia National Park",-68.26019,44.376559,28.5,19.9296875,10.080078125,15.009765625,1903,8
"ACAD","Acadia National Park",-68.26019,44.376559,38.7001953125,20.73046875,8.48046875,14.6103515625,1903,9
"ACAD","Acadia National Park",-68.26019,44.376559,126.669921875,13.0703125,3.1298828125,8.099609375,1903,10
"ACAD","Acadia National Park",-68.26019,44.376559,107.3603515625,5.3603515625,-2.830078125,1.26953125,1903,11
"ACAD","Acadia National Park",-68.26019,44.376559,90.3798828125,-1.3701171875,-11.009765625,-6.1904296875,1903,12
"ACAD","Acadia National Park",-68.26019,44.376559,137.2001953125,-5.330078125,-15.240234375,-10.2900390625,1904,1
"ACAD","Acadia National Park",-68.26019,44.376559,98.83984375,-4.58984375,-16.0498046875,-10.3203125,1904,2
"ACAD","Acadia National Park",-68.26019,44.376559,132.1103515625,2.8896484375,-7.2900390625,-2.2001953125,1904,3
"ACAD","Acadia National Park",-68.26019,44.376559,130.349609375,7.9501953125,-0.919921875,3.51953125,1904,4
"ACAD","Acadia National Park",-68.26019,44.376559,131.5,17.240234375,6.4296875,11.83984375,1904,5
"ACAD","Acadia National Park",-68.26019,44.376559,35.7001953125,19.83984375,8.5400390625,14.1904296875,1904,6
"ACAD","Acadia National Park",-68.26019,44.376559,43.5302734375,23.509765625,13.1103515625,18.3095703125,1904,7
"ACAD","Acadia National Park",-68.26019,44.376559,137.91015625,22.2001953125,10.6904296875,16.4501953125,1904,8
"ACAD","Acadia National Park",-68.26019,44.376559,220.7001953125,17.23046875,6.5498046875,11.8896484375,1904,9
"ACAD","Acadia National Park",-68.26019,44.376559,71.240234375,12.08984375,2.5703125,7.330078125,1904,10
"ACAD","Acadia National Park",-68.26019,44.376559,62.259765625,4.25,-4.0498046875,0.099609375,1904,11
"ACAD","Acadia National Park",-68.26019,44.376559,87.330078125,-4.0595703125,-14,-9.0302734375,1904,12
"ACAD","Acadia National Park",-68.26019,44.376559,135.2900390625,-4.2998046875,-14.900390625,-9.599609375,1905,1
"ACAD","Acadia National Park",-68.26019,44.376559,81.6298828125,-3.2001953125,-14.7197265625,-8.9599609375,1905,2
"ACAD","Acadia National Park",-68.26019,44.376559,27.759765625,3.9296875,-7.8095703125,-1.9404296875,1905,3
"ACAD","Acadia National Park",-68.26019,44.376559,29.7197265625,9.58984375,-0.0595703125,4.76953125,1905,4
"ACAD","Acadia National Park",-68.26019,44.376559,89.740234375,14.740234375,4.51953125,9.6298828125,1905,5
"ACAD","Acadia National Park",-68.26019,44.376559,107.419921875,17.73046875,8.009765625,12.8701171875,1905,6
"ACAD","Acadia National Park",-68.26019,44.376559,80.5703125,23.5595703125,11.9404296875,17.75,1905,7
"ACAD","Acadia National Park",-68.26019,44.376559,67.7099609375,21.7197265625,10.259765625,15.990234375,1905,8
"ACAD","Acadia National Park",-68.26019,44.376559,176.4501953125,17.16015625,8.23046875,12.7001953125,1905,9
"ACAD","Acadia National Park",-68.26019,44.376559,48.73046875,13.7197265625,1.490234375,7.6103515625,1905,10
"ACAD","Acadia National Park",-68.26019,44.376559,192.2998046875,6.26953125,-2.2998046875,1.990234375,1905,11
"ACAD","Acadia National Park",-68.26019,44.376559,121.7099609375,2.009765625,-7.91015625,-2.9501953125,1905,12
"ACAD","Acadia National Park",-68.26019,44.376559,113.51953125,2.23046875,-7.8701171875,-2.8203125,1906,1
"ACAD","Acadia National Park",-68.26019,44.376559,71.5400390625,0.4404296875,-11.7001953125,-5.6298828125,1906,2
"ACAD","Acadia National Park",-68.26019,44.376559,204.25,1.509765625,-8.400390625,-3.4501953125,1906,3
"ACAD","Acadia National Park",-68.26019,44.376559,112.7998046875,8.2197265625,-1.0302734375,3.599609375,1906,4
"ACAD","Acadia National Park",-68.26019,44.376559,135.73046875,13.7900390625,4.51953125,9.16015625,1906,5
"ACAD","Acadia National Park",-68.26019,44.376559,59.08984375,20.080078125,8.8203125,14.4501953125,1906,6
"ACAD","Acadia National Park",-68.26019,44.376559,100.7900390625,23.2197265625,12.2099609375,17.7197265625,1906,7
"ACAD","Acadia National Park",-68.26019,44.376559,23.4697265625,24.990234375,12.3896484375,18.6904296875,1906,8
"ACAD","Acadia National Park",-68.26019,44.376559,34.009765625,19.6796875,8.7802734375,14.23046875,1906,9
"ACAD","Acadia National Park",-68.26019,44.376559,116.51953125,13.3896484375,2.6904296875,8.0400390625,1906,10
"ACAD","Acadia National Park",-68.26019,44.376559,114.4404296875,5.3701171875,-1.5,1.9404296875,1906,11
"ACAD","Acadia National Park",-68.26019,44.376559,114.7099609375,-1.0498046875,-11.9697265625,-6.509765625,1906,12
"ACAD","Acadia National Park",-68.26019,44.376559,83.240234375,-2.5400390625,-14.599609375,-8.5703125,1907,1
"ACAD","Acadia National Park",-68.26019,44.376559,99.5595703125,-3.6796875,-16.16015625,-9.919921875,1907,2
"ACAD","Acadia National Park",-68.26019,44.376559,56,3.2802734375,-7.6904296875,-2.2099609375,1907,3
"ACAD","Acadia National Park",-68.26019,44.376559,137.5400390625,7.6396484375,-1.1796875,3.23046875,1907,4
"ACAD","Acadia National Park",-68.26019,44.376559,78.5,12.150390625,2.8603515625,7.509765625,1907,5
"ACAD","Acadia National Park",-68.26019,44.376559,109.580078125,19.26953125,7.599609375,13.4404296875,1907,6
"ACAD","Acadia National Park",-68.26019,44.376559,76.2001953125,21.76953125,11.9296875,16.849609375,1907,7
"ACAD","Acadia National Park",-68.26019,44.376559,62.5400390625,21.48046875,11.1298828125,16.3095703125,1907,8
"ACAD","Acadia National Park",-68.26019,44.376559,147.150390625,18.3798828125,9.0302734375,13.7099609375,1907,9
"ACAD","Acadia National Park",-68.26019,44.376559,121.6201171875,11.330078125,1.01953125,6.1796875,1907,10
"ACAD","Acadia National Park",-68.26019,44.376559,147.3798828125,6.7197265625,-1.3798828125,2.669921875,1907,11
"ACAD","Acadia National Park",-68.26019,44.376559,141.7001953125,2.9599609375,-6.4296875,-1.740234375,1907,12
"ACAD","Acadia National Park",-68.26019,44.376559,131.4296875,-0.0703125,-10.419921875,-5.25,1908,1
"ACAD","Acadia National Park",-68.26019,44.376559,152.7900390625,-1.2900390625,-13.51953125,-7.41015625,1908,2
"ACAD","Acadia National Park",-68.26019,44.376559,88.83984375,4.099609375,-6.6904296875,-1.2998046875,1908,3
"ACAD","Acadia National Park",-68.26019,44.376559,83.490234375,8.7998046875,-1.66015625,3.5703125,1908,4
"ACAD","Acadia National Park",-68.26019,44.376559,113.9599609375,15.48046875,4.9296875,10.2099609375,1908,5
"ACAD","Acadia National Park",-68.26019,44.376559,39.0595703125,22.26953125,9.4501953125,15.8603515625,1908,6
