"UnitCode","long","lat","tmean.max","year","tmean.max.ym","tmax.max","tmax.max.ym","tmean.min","tmean.min.ym","tmin.min","tmin.min.ym","ppt.max","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,20.7998046875,1921,1921-07-01,26.98046875,1921-07-01,-5.0703125,1921-02-01,-11.1904296875,1921-01-01,156.7197265625,1921-11-01,32.58984375,1921-06-01
"ACAD",-68.26019,44.376559,18.400390625,1922,1922-07-01,23.599609375,1922-07-01,-8.5498046875,1922-01-01,-14.580078125,1922-01-01,147.419921875,1922-08-01,45.6396484375,1922-05-01
"ACAD",-68.26019,44.376559,17.419921875,1923,1923-07-01,22.7900390625,1923-07-01,-11.1396484375,1923-02-01,-17.1201171875,1923-02-01,206.23046875,1923-04-01,42.4404296875,1923-05-01
"ACAD",-68.26019,44.376559,19.259765625,1924,1924-07-01,25.0498046875,1924-07-01,-8.75,1924-02-01,-14.2001953125,1924-02-01,124.4404296875,1924-01-01,33.6904296875,1924-10-01
"ACAD",-68.26019,44.376559,18.2099609375,1925,1925-07-01,23.5498046875,1925-08-01,-10.599609375,1925-01-01,-17.7197265625,1925-01-01,207.419921875,1925-10-01,30.48046875,1925-08-01
"ACAD",-68.26019,44.376559,18.099609375,1926,1926-07-01,23.2900390625,1926-07-01,-7.599609375,1926-02-01,-12.7197265625,1926-01-01,215.1103515625,1926-10-01,43.7001953125,1926-05-01
"ACAD",-68.26019,44.376559,18.1396484375,1927,1927-07-01,22.8603515625,1927-07-01,-6.23046875,1927-02-01,-11.4599609375,1927-02-01,170.990234375,1927-12-01,57.650390625,1927-04-01
"ACAD",-68.26019,44.376559,18.8203125,1928,1928-07-01,23.8896484375,1928-07-01,-6.5302734375,1928-02-01,-12.6298828125,1928-02-01,158.7099609375,1928-05-01,51.58984375,1928-11-01
"ACAD",-68.26019,44.376559,18.169921875,1929,1929-07-01,24.240234375,1929-07-01,-5.9296875,1929-02-01,-11.23046875,1929-02-01,198.8603515625,1929-04-01,38.6298828125,1929-06-01
"ACAD",-68.26019,44.376559,18.9501953125,1930,1930-07-01,24.2802734375,1930-07-01,-5.8896484375,1930-02-01,-11.4296875,1930-02-01,165.58984375,1930-03-01,7.3701171875,1930-06-01
"ACAD",-68.26019,44.376559,18.8701171875,1931,1931-07-01,23.66015625,1931-07-01,-6.240234375,1931-01-01,-11.7197265625,1931-01-01,173.4501953125,1931-10-01,34.25,1931-11-01
"ACAD",-68.26019,44.376559,19.3896484375,1932,1932-08-01,24.509765625,1932-08-01,-6.5,1932-02-01,-12.1201171875,1932-02-01,158.1201171875,1932-10-01,35.75,1932-06-01
