"unit.code","long","lat","tmean.max","year","tmean.max.date","tmax.max","tmax.max.date","tmean.min","tmean.min.date","tmin.min","tmin.min.date"
"ACAD",-68.26019,44.376559,24.21875,1990,"1990-07-20",31.3984375,"1990-07-20",-15.1875,"1990-02-27",-21.6171875,"1990-02-27"
"ACAD",-68.26019,44.376559,26.1171875,1991,"1991-07-21",33.3671875,"1991-07-22",-15.71875,"1991-01-26",-19.5234375,"1991-01-24"
"ACAD",-68.26019,44.376559,23.1875,1992,"1992-05-23",33.4375,"1992-05-23",-17.1171875,"1992-01-17",-20.90625,"1992-01-17"
"ACAD",-68.26019,44.376559,26.359375,1993,"1993-08-27",33.78125,"1993-08-27",-19.7421875,"1993-02-07",-26.1875,"1993-01-31"
"ACAD",-68.26019,44.376559,25.4296875,1994,"1994-07-22",31.3984375,"1994-07-22",-21.2265625,"1994-01-17",-26.8125,"1994-01-17"
"ACAD",-68.26019,44.376559,25.4375,1995,"1995-08-02",32.4296875,"1995-08-02",-19.609375,"1995-02-07",-24.109375,"1995-02-07"
"ACAD",-68.26019,44.376559,22.8828125,1996,"1996-08-06",29.453125,"1996-08-07",-16.953125,"1996-01-06",-21.2890625,"1996-02-14"
"ACAD",-68.26019,44.376559,24.09375,1997,"1997-07-18",31.9375,"1997-06-11",-16.0390625,"1997-01-19",-21.1015625,"1997-01-19"
"ACAD",-68.26019,44.376559,24.9375,1998,"1998-07-23",32.4609375,"1998-07-23",-12.546875,"1998-01-23",-19.609375,"1998-12-31"
"ACAD",-68.26019,44.376559,26.7421875,1999,"1999-07-18",33.6171875,"1999-07-18",-15.3515625,"1999-01-03",-22.3984375,"1999-01-15"
"ACAD",-68.26019,44.376559,22.9296875,2000,"2000-08-09",31.34375,"2000-06-18",-16.3828125,"2000-01-23",-21.578125,"2000-01-23"
"ACAD",-68.26019,44.376559,26.3125,2001,"2001-06-28",32.4296875,"2001-08-08",-13.4921875,"2001-03-02",-19.28125,"2001-03-02"
"ACAD",-68.26019,44.376559,26.4375,2002,"2002-07-04",34.8125,"2002-07-04",-10.2578125,"2002-02-03",-15.71875,"2002-12-09"
"ACAD",-68.26019,44.376559,23.53125,2003,"2003-06-27",30.328125,"2003-06-27",-19.2109375,"2003-02-14",-23.828125,"2003-02-14"
"ACAD",-68.26019,44.376559,22.0625,2004,"2004-08-02",29.5078125,"2004-06-09",-21.4375,"2004-01-15",-24.0625,"2004-01-14"
"ACAD",-68.26019,44.376559,24.5234375,2005,"2005-06-26",32.9375,"2005-06-26",-18.390625,"2005-01-22",-23.2109375,"2005-01-22"
"ACAD",-68.26019,44.376559,23.890625,2006,"2006-08-02",29.65625,"2006-07-15",-12.3671875,"2006-02-28",-15.7890625,"2006-02-28"
"ACAD",-68.26019,44.376559,24.7578125,2007,"2007-07-27",31.59375,"2007-07-27",-16.640625,"2007-03-07",-20.9765625,"2007-01-18"
"ACAD",-68.26019,44.376559,23.8984375,2008,"2008-07-09",31.3125,"2008-06-09",-17.609375,"2008-01-04",-21.828125,"2008-01-04"
"ACAD",-68.26019,44.376559,26.3203125,2009,"2009-08-19",32.03125,"2009-08-19",-18.28125,"2009-01-16",-25.171875,"2009-01-16"
"ACAD",-68.26019,44.376559,26.109375,2010,"2010-09-02",33.046875,"2010-09-01",-11.7578125,"2010-02-07",-17.6015625,"2010-01-31"
"ACAD",-68.26019,44.376559,27.890625,2011,"2011-07-23",34.2890625,"2011-07-23",-16.7265625,"2011-01-25",-20.921875,"2011-01-25"
"ACAD",-68.26019,44.376559,25.2109375,2012,"2012-07-15",32.0625,"2012-07-15",-14.4765625,"2012-01-16",-18.359375,"2012-01-22"
