"year","month","noaa.year.month","noaa.anom","mcfarland.year.month","mcfarland.anom"
1904,10,1904-10-01,-1.66117066375969,NA,NA
1904,11,1904-11-01,-3.17699249031008,NA,NA
1904,12,1904-12-01,-5.75092357073643,NA,NA
1905,1,1905-01-01,-3.60704627403846,NA,NA
1905,2,1905-02-01,-3.44396784855769,NA,NA
1905,3,1905-03-01,-1.44995492788462,NA,NA
1905,4,1905-04-01,-0.527524038461539,NA,NA
1905,5,1905-05-01,-1.35550631009615,NA,NA
1905,6,1905-06-01,-2.82450420673077,NA,NA
1905,7,1905-07-01,-1.27545823317308,NA,NA
1905,8,1905-08-01,-2.32631460336539,NA,NA
1905,9,1905-09-01,-1.75324006782946,NA,NA
1905,10,1905-10-01,-1.38089722625969,NA,NA
1905,11,1905-11-01,-1.28636749031008,NA,NA
1905,12,1905-12-01,0.329154554263566,NA,NA
1906,1,1906-01-01,3.17225060096154,NA,NA
1906,2,1906-02-01,-0.113889723557692,NA,NA
1906,3,1906-03-01,-2.95972055288462,NA,NA
1906,4,1906-04-01,-1.69744591346154,NA,NA
1906,5,1906-05-01,-1.82523287259615,NA,NA
1906,6,1906-06-01,-1.24442608173077,NA,NA
1906,7,1906-07-01,-1.30573167067308,NA,NA
1906,8,1906-08-01,0.373880709134614,NA,NA
1906,9,1906-09-01,-0.222966630329458,NA,NA
1906,10,1906-10-01,-0.951209726259689,NA,NA
1906,11,1906-11-01,-1.33617217781008,NA,NA
1906,12,1906-12-01,-3.23041575823643,NA,NA
1907,1,1907-01-01,-2.57774939903846,NA,NA
1907,2,1907-02-01,-4.40392878605769,NA,NA
1907,3,1907-03-01,-1.71948617788462,NA,NA
1907,4,1907-04-01,-2.06658653846154,NA,NA
1907,5,1907-05-01,-3.47562349759615,NA,NA
1907,6,1907-06-01,-2.25419170673077,NA,NA
1907,7,1907-07-01,-2.17584885817308,NA,NA
1907,8,1907-08-01,-2.00697866586539,NA,NA
1907,9,1907-09-01,-0.743474442829458,NA,NA
1907,10,1907-10-01,-2.81156128875969,NA,NA
1907,11,1907-11-01,-0.606679990310078,NA,NA
1907,12,1907-12-01,1.53911549176357,NA,NA
1908,1,1908-01-01,0.742563100961538,NA,NA
1908,2,1908-02-01,-1.89416316105769,NA,NA
1908,3,1908-03-01,-0.809329927884615,NA,NA
1908,4,1908-04-01,-1.72674278846154,NA,NA
1908,5,1908-05-01,-0.775428185096153,NA,NA
1908,6,1908-06-01,0.165730168269231,NA,NA
1908,7,1908-07-01,-0.294989483173076,NA,NA
1908,8,1908-08-01,-1.94643179086539,NA,NA
1908,9,1908-09-01,0.716486494670542,NA,NA
1908,10,1908-10-01,0.699180898740311,NA,NA
1908,11,1908-11-01,-0.596914365310078,NA,NA
1908,12,1908-12-01,-1.17084544573643,NA,NA
1909,1,1909-01-01,0.0921724759615383,NA,NA
1909,2,1909-02-01,-0.403928786057692,NA,NA
1909,3,1909-03-01,-0.619876802884615,NA,NA
1909,4,1909-04-01,-1.60662560096154,NA,NA
1909,5,1909-05-01,-1.60550631009615,NA,NA
1909,6,1909-06-01,-0.144816706730769,NA,NA
1909,7,1909-07-01,-1.49518479567308,NA,NA
1909,8,1909-08-01,-1.01674429086539,NA,NA
1909,9,1909-09-01,-0.633122880329458,NA,NA
1909,10,1909-10-01,0.298790273740311,NA,NA
1909,11,1909-11-01,1.22339813468992,NA,NA
1909,12,1909-12-01,-0.850532945736434,NA,NA
1910,1,1910-01-01,2.49256310096154,NA,NA
1910,2,1910-02-01,-0.424436598557692,NA,NA
1910,3,1910-03-01,2.30004507211538,NA,NA
1910,4,1910-04-01,1.32306189903846,NA,NA
1910,5,1910-05-01,-1.50492037259615,NA,NA
1910,6,1910-06-01,-1.65458233173077,NA,NA
1910,7,1910-07-01,0.00481520432692406,NA,NA
1910,8,1910-08-01,-1.46693960336539,NA,NA
1910,9,1910-09-01,-1.44366975532946,NA,NA
1910,10,1910-10-01,-0.300819101259689,NA,NA
1910,11,1910-11-01,-0.886953427810078,NA,NA
1910,12,1910-12-01,-3.04096263323643,NA,NA
1911,1,1911-01-01,0.252328725961538,NA,NA
1911,2,1911-02-01,-3.86388972355769,NA,NA
1911,3,1911-03-01,-2.37964242788462,NA,NA
1911,4,1911-04-01,-1.31658653846154,NA,NA
1911,5,1911-05-01,1.21480618990385,NA,NA
1911,6,1911-06-01,-0.894816706730769,NA,NA
1911,7,1911-07-01,0.664971454326924,NA,NA
1911,8,1911-08-01,-1.01674429086539,NA,NA
1911,9,1911-09-01,-1.99347444282946,NA,NA
1911,10,1911-10-01,-0.861365976259689,NA,NA
1911,11,1911-11-01,-1.17699249031008,NA,NA
1911,12,1911-12-01,2.33892017926357,NA,NA
1912,1,1912-01-01,-4.42735877403846,NA,NA
1912,2,1912-02-01,-1.87365534855769,NA,NA
1912,3,1912-03-01,-1.53979867788462,NA,NA
1912,4,1912-04-01,-1.65740685096154,NA,NA
1912,5,1912-05-01,-0.515662560096153,NA,NA
1912,6,1912-06-01,-1.33426983173077,NA,NA
1912,7,1912-07-01,-0.925848858173076,NA,NA
1912,8,1912-08-01,-3.00697866586539,NA,NA
1912,9,1912-09-01,-2.05304475532946,NA,NA
1912,10,1912-10-01,-0.0312878512596892,NA,NA
1912,11,1912-11-01,-0.416250302810078,NA,NA
1912,12,1912-12-01,0.619193616763566,NA,NA
1913,1,1913-01-01,4.11268028846154,NA,NA
1913,2,1913-02-01,-2.47424128605769,NA,NA
1913,3,1913-03-01,1.39086538461538,NA,NA
1913,4,1913-04-01,-0.277524038461539,NA,NA
1913,5,1913-05-01,-3.25492037259615,NA,NA
1913,6,1913-06-01,-1.43485576923077,NA,NA
1913,7,1913-07-01,-0.0352238581730759,NA,NA
1913,8,1913-08-01,-1.61635366586539,NA,NA
1913,9,1913-09-01,-2.08331819282946,NA,NA
1913,10,1913-10-01,2.75875121124031,NA,NA
1913,11,1913-11-01,0.513437197189922,NA,NA
1913,12,1913-12-01,0.918998304263566,NA,NA
1914,1,1914-01-01,-2.56700721153846,NA,NA
1914,2,1914-02-01,-4.85412409855769,NA,NA
1914,3,1914-03-01,-1.40991586538462,NA,NA
1914,4,1914-04-01,-2.33709435096154,NA,NA
1914,5,1914-05-01,1.04488431490385,NA,NA
1914,6,1914-06-01,-1.23466045673077,NA,NA
1914,7,1914-07-01,-1.73541917067308,NA,NA
1914,8,1914-08-01,-0.916158353365386,NA,NA
1914,9,1914-09-01,0.527033369670542,NA,NA
1914,10,1914-10-01,1.12886839874031,NA,NA
1914,11,1914-11-01,-3.29613311531008,NA,NA
1914,12,1914-12-01,-2.68061107073643,NA,NA
1915,1,1915-01-01,1.03260216346154,NA,NA
1915,2,1915-02-01,2.18591496394231,NA,NA
1915,3,1915-03-01,-1.14917367788462,NA,NA
1915,4,1915-04-01,1.14337439903846,NA,NA
1915,5,1915-05-01,-0.805701622596153,NA,NA
1915,6,1915-06-01,-0.444621394230769,NA,NA
1915,7,1915-07-01,-1.16510667067308,NA,NA
1915,8,1915-08-01,-0.816548978365386,NA,NA
1915,9,1915-09-01,1.22625211967054,NA,NA
1915,10,1915-10-01,0.358360586240311,NA,NA
1915,11,1915-11-01,-0.146719052810078,NA,NA
1915,12,1915-12-01,0.739310804263566,NA,NA
1916,1,1916-01-01,1.01209435096154,NA,NA
1916,2,1916-02-01,-2.53381159855769,NA,NA
1916,3,1916-03-01,-4.58960336538462,NA,NA
1916,4,1916-04-01,-0.907406850961539,NA,NA
1916,5,1916-05-01,-1.14554537259615,NA,NA
1916,6,1916-06-01,-1.07450420673077,NA,NA
1916,7,1916-07-01,-0.0156926081730759,NA,NA
1916,8,1916-08-01,0.553568209134614,NA,NA
1916,9,1916-09-01,0.146173994670542,NA,NA
1916,10,1916-10-01,0.458946523740311,NA,NA
1916,11,1916-11-01,-2.45628936531008,NA,NA
1916,12,1916-12-01,-0.290962633236434,NA,NA
1917,1,1917-01-01,-0.197866586538462,NA,NA
1917,2,1917-02-01,-2.67443659855769,NA,NA
1917,3,1917-03-01,-0.399173677884615,NA,NA
1917,4,1917-04-01,-1.07732872596154,NA,NA
1917,5,1917-05-01,-3.73538912259615,NA,NA
1917,6,1917-06-01,-2.13505108173077,NA,NA
1917,7,1917-07-01,-0.395575420673076,NA,NA
1917,8,1917-08-01,-0.746236478365386,NA,NA
1917,9,1917-09-01,-1.84308381782946,NA,NA
1917,10,1917-10-01,-1.41117066375969,NA,NA
1917,11,1917-11-01,-3.01683624031008,NA,NA
1917,12,1917-12-01,-4.94037669573643,NA,NA
1918,1,1918-01-01,-4.43712439903846,NA,NA
1918,2,1918-02-01,-2.02404597355769,NA,NA
1918,3,1918-03-01,-1.28979867788462,NA,NA
1918,4,1918-04-01,-0.247250600961539,NA,NA
1918,5,1918-05-01,2.07418118990385,NA,NA
1918,6,1918-06-01,-2.09501201923077,NA,NA
1918,7,1918-07-01,-1.42584885817308,NA,NA
1918,8,1918-08-01,-1.15639272836539,NA,NA
1918,9,1918-09-01,-1.67316194282946,NA,NA
1918,10,1918-10-01,0.108360586240311,NA,NA
1918,11,1918-11-01,-0.0568753028100777,NA,NA
1918,12,1918-12-01,0.509818616763566,NA,NA
1919,1,1919-01-01,2.01209435096154,NA,NA
1919,2,1919-02-01,1.48571965144231,NA,NA
1919,3,1919-03-01,1.60082632211538,NA,NA
1919,4,1919-04-01,-0.587094350961539,NA,NA
1919,5,1919-05-01,0.134728064903847,NA,NA
1919,6,1919-06-01,0.135456730769231,NA,NA
1919,7,1919-07-01,-0.555731670673076,NA,NA
1919,8,1919-08-01,-2.98647085336539,NA,NA
1919,9,1919-09-01,-1.14386506782946,NA,NA
1919,10,1919-10-01,-2.03128785125969,NA,NA
1919,11,1919-11-01,-0.306875302810078,NA,NA
1919,12,1919-12-01,-3.68061107073643,NA,NA
1920,1,1920-01-01,-5.87755408653846,NA,NA
1920,2,1920-02-01,-2.15392878605769,NA,NA
1920,3,1920-03-01,-0.309329927884615,NA,NA
1920,4,1920-04-01,-1.48748497596154,NA,NA
1920,5,1920-05-01,-1.21585787259615,NA,NA
