"year","month","noaa.year.month","noaa.precip.anom","noaa.percent.precip.anom","mcfarland.year.month","mcfarland.precip.anom","mcfarland.percent.precip.anom"
1901,1,1901-01-01,2.70942758413462,2.3892464797302,NA,NA,NA
1901,2,1901-02-01,-50.8437424879808,-52.5766183812649,NA,NA,NA
1901,3,1901-03-01,138.645034555288,121.92291962436,NA,NA,NA
1901,4,1901-04-01,48.5359224759615,45.5931954376758,NA,NA,NA
1901,5,1901-05-01,-21.03369140625,-21.793373503119,NA,NA,NA
1901,6,1901-06-01,-51.5870793269231,-58.0170135947226,NA,NA,NA
1901,7,1901-07-01,-34.7483548677885,-42.2636411155508,NA,NA,NA
1901,8,1901-08-01,3.40131460336538,4.21276293656604,NA,NA,NA
1901,9,1901-09-01,-23.221066497093,-22.6944029632102,NA,NA,NA
1901,10,1901-10-01,-28.1272710755814,-23.8695958782017,NA,NA,NA
1901,11,1901-11-01,-40.5415379723837,-30.0371711307303,NA,NA,NA
1901,12,1901-12-01,126.097156613372,102.849943974732,NA,NA,NA
1902,1,1902-01-01,-9.30131460336538,-8.2021506325115,NA,NA,NA
1902,2,1902-02-01,-1.91405498798076,-1.97929054273711,NA,NA,NA
1902,3,1902-03-01,248.265151742788,218.321645910765,NA,NA,NA
1902,4,1902-04-01,-25.2843900240385,-23.7514005520211,NA,NA,NA
1902,5,1902-05-01,-26.09423828125,-27.0366941379432,NA,NA,NA
1902,6,1902-06-01,125.523272235577,141.168786579178,NA,NA,NA
1902,7,1902-07-01,-40.3381986177885,-49.0624421247176,NA,NA,NA
1902,8,1902-08-01,12.6112755408654,15.6199353417095,NA,NA,NA
1902,9,1902-09-01,-41.940793059593,-40.9895582707268,NA,NA,NA
1902,10,1902-10-01,12.3131586119186,10.4492938280761,NA,NA,NA
1902,11,1902-11-01,-85.8110692223837,-63.5773061421461,NA,NA,NA
1902,12,1902-12-01,64.7573128633721,52.8186850427817,NA,NA,NA
1903,1,1903-01-01,34.0287635216346,30.0074834735267,NA,NA,NA
1903,2,1903-02-01,41.2060621995192,42.6104629841309,NA,NA,NA
1903,3,1903-03-01,138.904800180288,122.151354660058,NA,NA,NA
1903,4,1903-04-01,-0.394741586538458,-0.370808452468165,NA,NA,NA
1903,5,1903-05-01,-55.29443359375,-57.291524377596,NA,NA,NA
1903,6,1903-06-01,-10.6671574519231,-11.9967369151344,NA,NA,NA
1903,7,1903-07-01,12.7819185697115,15.546359568788,NA,NA,NA
1903,8,1903-08-01,-52.2383338341346,-64.7007825817298,NA,NA,NA
1903,9,1903-09-01,-63.620480559593,-62.1775413594047,NA,NA,NA
1903,10,1903-10-01,8.83268986191861,7.49566984137753,NA,NA,NA
1903,11,1903-11-01,-27.6108739098837,-20.4568594626365,NA,NA,NA
1903,12,1903-12-01,-32.2231558866279,-26.2825099838713,NA,NA,NA
1904,1,1904-01-01,23.7992713341346,20.9868407586124,NA,NA,NA
1904,2,1904-02-01,2.13574969951924,2.20854113829384,NA,NA,NA
1904,3,1904-03-01,18.3950345552885,16.1763912192426,NA,NA,NA
1904,4,1904-04-01,23.8952974759615,22.446528515091,NA,NA,NA
1904,5,1904-05-01,34.98583984375,36.249437167676,NA,NA,NA
1904,6,1904-06-01,-53.2169621394231,-59.850048814479,NA,NA,NA
1904,7,1904-07-01,-38.6878079927885,-47.0551091922417,NA,NA,NA
1904,8,1904-08-01,57.1718224158654,70.8112487598725,NA,NA,NA
1904,9,1904-09-01,118.379519440407,115.694622256394,NA,NA,NA
1904,10,1904-10-01,-46.5969976380814,-39.5435269838217,NA,NA,NA
1904,11,1904-11-01,-72.7114598473837,-53.8718231185217,NA,NA,NA
1904,12,1904-12-01,-35.2729605741279,-28.7700541099058,NA,NA,NA
1905,1,1905-01-01,21.8891150841346,19.302413345689,NA,NA,NA
1905,2,1905-02-01,-15.0742112379808,-15.5879762754531,NA,NA,NA
1905,3,1905-03-01,-85.9555513822115,-75.5883672001376,NA,NA,NA
1905,4,1905-04-01,-76.7345853365385,-72.0821768209011,NA,NA,NA
1905,5,1905-05-01,-6.77392578125,-7.01858232023515,NA,NA,NA
1905,6,1905-06-01,18.5027644230769,20.808992272477,NA,NA,NA
1905,7,1905-07-01,-1.64776893028846,-2.00414422426724,NA,NA,NA
1905,8,1905-08-01,-13.0283728966346,-16.1365392099861,NA,NA,NA
1905,9,1905-09-01,74.129519440407,72.4482308278273,NA,NA,NA
1905,10,1905-10-01,-69.1067632630814,-58.6459492322509,NA,NA,NA
1905,11,1905-11-01,57.3285792151163,42.4746674815116,NA,NA,NA
1905,12,1905-12-01,-0.893077761627907,-0.72843036445414,NA,NA,NA
1906,1,1906-01-01,0.118607271634616,0.104591098091268,NA,NA,NA
1906,2,1906-02-01,-25.1640549879808,-26.0217059422994,NA,NA,NA
1906,3,1906-03-01,90.5346829927885,79.6152052120182,NA,NA,NA
1906,4,1906-04-01,6.34549278846154,5.96076633746844,NA,NA,NA
1906,5,1906-05-01,39.21630859375,40.6326994197136,NA,NA,NA
1906,6,1906-06-01,-29.8273137019231,-33.54505986997,NA,NA,NA
1906,7,1906-07-01,18.5719576322115,22.5886536259769,NA,NA,NA
1906,8,1906-08-01,-57.2686072716346,-70.9311234850162,NA,NA,NA
1906,9,1906-09-01,-68.310910247093,-66.7615901330497,NA,NA,NA
1906,10,1906-10-01,-1.31770076308139,-1.11823804800091,NA,NA,NA
1906,11,1906-11-01,-20.5307957848837,-15.2112390719046,NA,NA,NA
1906,12,1906-12-01,-7.89307776162791,-6.43791364828876,NA,NA,NA
1907,1,1907-01-01,-30.1606896033654,-26.5965113380553,NA,NA,NA
1907,2,1907-02-01,2.85547626201924,2.95279769699165,NA,NA,NA
1907,3,1907-03-01,-57.7153170072115,-50.754215462066,NA,NA,NA
1907,4,1907-04-01,31.0857271634615,29.2010033308405,NA,NA,NA
1907,5,1907-05-01,-18.01416015625,-18.6647846565584,NA,NA,NA
1907,6,1907-06-01,20.6629206730769,23.2383954516868,NA,NA,NA
1907,7,1907-07-01,-6.01788611778846,-7.31941929694741,NA,NA,NA
1907,8,1907-08-01,-18.1982947716346,-22.5398443433579,NA,NA,NA
1907,9,1907-09-01,44.829714752907,43.8129580075749,NA,NA,NA
1907,10,1907-10-01,3.78288517441861,3.21026309748914,NA,NA,NA
1907,11,1907-11-01,12.4086573401163,9.19355758732087,NA,NA,NA
1907,12,1907-12-01,19.0971566133721,15.5764137789743,NA,NA,NA
1908,1,1908-01-01,18.0287635216346,15.8982509922707,NA,NA,NA
1908,2,1908-02-01,56.0859450120192,57.9974876583215,NA,NA,NA
1908,3,1908-03-01,-24.8754732572115,-21.8752177911389,NA,NA,NA
1908,4,1908-04-01,-22.9640775240385,-21.5717683148595,NA,NA,NA
1908,5,1908-05-01,17.44580078125,18.0758976226974,NA,NA,NA
1908,6,1908-06-01,-49.8575871394231,-56.0719534544059,NA,NA,NA
1908,7,1908-07-01,1.05144981971154,1.27885472565186,NA,NA,NA
1908,8,1908-08-01,-14.6885291466346,-18.1927573298826,NA,NA,NA
1908,9,1908-09-01,-51.511105559593,-50.3428120666296,NA,NA,NA
1908,10,1908-10-01,23.8629632994186,20.2507839769773,NA,NA,NA
1908,11,1908-11-01,-87.5815770348837,-64.8890730067526,NA,NA,NA
1908,12,1908-12-01,20.1870003633721,16.4653344464909,NA,NA,NA
1909,1,1909-01-01,71.4086463341346,62.9700745187561,NA,NA,NA
1909,2,1909-02-01,64.1660231370192,66.3529540988448,NA,NA,NA
1909,3,1909-03-01,38.6548001802885,33.9926064470603,NA,NA,NA
1909,4,1909-04-01,26.7156099759615,25.0958458134591,NA,NA,NA
1909,5,1909-05-01,16.00537109375,16.5834433702147,NA,NA,NA
1909,6,1909-06-01,-56.1368840144231,-63.1339165838448,NA,NA,NA
1909,7,1909-07-01,-18.2678861177885,-22.2188182939753,NA,NA,NA
1909,8,1909-08-01,-38.2686072716346,-47.398311872836,NA,NA,NA
1909,9,1909-09-01,101.839480377907,99.5297182215767,NA,NA,NA
1909,10,1909-10-01,-69.8372320130814,-59.2658456245209,NA,NA,NA
1909,11,1909-11-01,22.5385401526163,16.6987741822259,NA,NA,NA
1909,12,1909-12-01,-69.7329215116279,-56.8769928147987,NA,NA,NA
1910,1,1910-01-01,-23.7505333533654,-20.9438622897786,NA,NA,NA
1910,2,1910-02-01,43.1357496995192,44.6059188321456,NA,NA,NA
1910,3,1910-03-01,-35.5151216947115,-31.2316076931477,NA,NA,NA
1910,4,1910-04-01,29.5857271634615,27.7919481472209,NA,NA,NA
1910,5,1910-05-01,-46.55419921875,-48.2356155235479,NA,NA,NA
1910,6,1910-06-01,3.67268629807693,4.13045851141016,NA,NA,NA
1910,7,1910-07-01,-45.0481595552885,-54.7910614935525,NA,NA,NA
1910,8,1910-08-01,0.271431790865378,0.336187010525875,NA,NA,NA
1910,9,1910-09-01,-36.450558684593,-35.623844715567,NA,NA,NA
1910,10,1910-10-01,-64.9075445130814,-55.0823737151903,NA,NA,NA
1910,11,1910-11-01,-85.4214207848837,-63.2886161371941,NA,NA,NA
1910,12,1910-12-01,-23.1128043241279,-18.8517385615927,NA,NA,NA
1911,1,1911-01-01,-2.68119741586538,-2.36435235428673,NA,NA,NA
1911,2,1911-02-01,6.72559344951924,6.95481769986738,NA,NA,NA
1911,3,1911-03-01,2.56495643028846,2.25559449491382,NA,NA,NA
1911,4,1911-04-01,-62.8039212740385,-58.996127215215,NA,NA,NA
1911,5,1911-05-01,-93.41455078125,-96.7884408153353,NA,NA,NA
1911,6,1911-06-01,1.01253004807693,1.13873416232901,NA,NA,NA
1911,7,1911-07-01,24.9215670072115,30.3115404466622,NA,NA,NA
1911,8,1911-08-01,-21.6885291466346,-26.8627405554227,NA,NA,NA
1911,9,1911-09-01,27.849246002907,27.2176134154159,NA,NA,NA
1911,10,1911-10-01,-63.4973882630814,-53.8856753322519,NA,NA,NA
1911,11,1911-11-01,40.1684229651163,29.7607307220716,NA,NA,NA
1911,12,1911-12-01,-15.4633902616279,-12.6125668871679,NA,NA,NA
1912,1,1912-01-01,34.1791541466346,30.1401019917221,NA,NA,NA
1912,2,1912-02-01,19.3457106370192,20.0050585520408,NA,NA,NA
1912,3,1912-03-01,38.5346829927885,33.886976712508,NA,NA,NA
1912,4,1912-04-01,-7.21407752403846,-6.77668888685346,NA,NA,NA
1912,5,1912-05-01,140.65576171875,145.735881129813,NA,NA,NA
1912,6,1912-06-01,-57.8273137019231,-65.0350453827653,NA,NA,NA
1912,7,1912-07-01,22.1823091947115,26.9798428871386,NA,NA,NA
1912,8,1912-08-01,27.2616661658654,33.7654554797608,NA,NA,NA
1912,9,1912-09-01,-13.431027434593,-13.1264060954627,NA,NA,NA
1912,10,1912-10-01,10.2330804869186,8.6840808393926,NA,NA,NA
1912,11,1912-11-01,0.168422965116292,0.124784349054275,NA,NA,NA
1912,12,1912-12-01,32.1371956758721,26.2123973572449,NA,NA,NA
1913,1,1913-01-01,-7.70072866586538,-6.79071068886046,NA,NA,NA
1913,2,1913-02-01,-11.4638596754808,-11.8545753290409,NA,NA,NA
1913,3,1913-03-01,85.3549954927885,75.0602449513248,NA,NA,NA
1913,4,1913-04-01,-34.6847806490385,-32.5818466441581,NA,NA,NA
1913,5,1913-05-01,3.85595703125,3.99522414639206,NA,NA,NA
1913,6,1913-06-01,-81.7472355769231,-91.9364022867277,NA,NA,NA
1913,7,1913-07-01,1.84148888221154,2.23976143711515,NA,NA,NA
1913,8,1913-08-01,-25.8486853966346,-32.0153812558692,NA,NA,NA
1913,9,1913-09-01,-6.12048055959302,-5.98166549177606,NA,NA,NA
1913,10,1913-10-01,119.452807049419,101.371022561153,NA,NA,NA
1913,11,1913-11-01,-98.2915379723837,-72.8240687067741,NA,NA,NA
1913,12,1913-12-01,-6.14307776162791,-5.01054282733011,NA,NA,NA
1914,1,1914-01-01,-7.95072866586538,-7.01116744638009,NA,NA,NA
1914,2,1914-02-01,-18.4638596754808,-19.093152008479,NA,NA,NA
1914,3,1914-03-01,-4.24559044471154,-3.73352557636742,NA,NA,NA
1914,4,1914-04-01,-15.8244290865385,-14.8649958881387,NA,NA,NA
1914,5,1914-05-01,-58.70458984375,-60.824846580762,NA,NA,NA
1914,6,1914-06-01,16.3426081730769,18.3795890932673,NA,NA,NA
