"UnitCode","long","lat","ppt.max","year","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,182.099609375,1954,1954-09-01,61.9404296875,1954-07-01
"ACAD",-68.26019,44.376559,173.900390625,1955,1955-11-01,24.33984375,1955-12-01
"ACAD",-68.26019,44.376559,198.7900390625,1956,1956-01-01,58.16015625,1956-06-01
"ACAD",-68.26019,44.376559,154.1904296875,1957,1957-12-01,36.6796875,1957-09-01
"ACAD",-68.26019,44.376559,267.01953125,1958,1958-01-01,77.080078125,1958-12-01
"ACAD",-68.26019,44.376559,224.400390625,1959,1959-11-01,34.240234375,1959-05-01
"ACAD",-68.26019,44.376559,243.7998046875,1960,1960-02-01,22.0400390625,1960-08-01
"ACAD",-68.26019,44.376559,213.330078125,1961,1961-11-01,32.66015625,1961-08-01
"ACAD",-68.26019,44.376559,238.8701171875,1962,1962-11-01,39.2998046875,1962-03-01
"ACAD",-68.26019,44.376559,247.23046875,1963,1963-11-01,24.4296875,1963-06-01
"ACAD",-68.26019,44.376559,169.6201171875,1964,1964-12-01,36.1103515625,1964-07-01
"ACAD",-68.26019,44.376559,219.16015625,1965,1965-11-01,14.3798828125,1965-06-01
"ACAD",-68.26019,44.376559,148.26953125,1966,1966-11-01,20.7099609375,1966-04-01
"ACAD",-68.26019,44.376559,246.080078125,1967,1967-12-01,50.8095703125,1967-03-01
"ACAD",-68.26019,44.376559,216.5703125,1968,1968-11-01,6.0703125,1968-07-01
"ACAD",-68.26019,44.376559,280.2998046875,1969,1969-12-01,33.58984375,1969-06-01
"ACAD",-68.26019,44.376559,199.9697265625,1970,1970-02-01,18.83984375,1970-01-01
"ACAD",-68.26019,44.376559,183.7900390625,1971,1971-02-01,39.919921875,1971-06-01
"ACAD",-68.26019,44.376559,235.51953125,1972,1972-03-01,36.5,1972-08-01
"ACAD",-68.26019,44.376559,215.6103515625,1973,1973-12-01,90.0498046875,1973-11-01
"ACAD",-68.26019,44.376559,193.8896484375,1974,1974-09-01,33.1103515625,1974-10-01
"ACAD",-68.26019,44.376559,217.4599609375,1975,1975-12-01,48.650390625,1975-02-01
"ACAD",-68.26019,44.376559,194.6904296875,1976,1976-01-01,54.669921875,1976-09-01
"ACAD",-68.26019,44.376559,250.2802734375,1977,1977-12-01,37.7998046875,1977-05-01
"ACAD",-68.26019,44.376559,201.6201171875,1978,1978-01-01,22.98046875,1978-08-01
"ACAD",-68.26019,44.376559,300.9697265625,1979,1979-01-01,27.2900390625,1979-06-01
"ACAD",-68.26019,44.376559,176.9599609375,1980,1980-03-01,21.6103515625,1980-01-01
"ACAD",-68.26019,44.376559,188.25,1981,1981-12-01,42.0498046875,1981-03-01
"ACAD",-68.26019,44.376559,170.08984375,1982,1982-01-01,20.3798828125,1982-05-01
"ACAD",-68.26019,44.376559,307.240234375,1983,1983-11-01,36.75,1983-06-01
"ACAD",-68.26019,44.376559,208.009765625,1984,1984-03-01,22.6796875,1984-08-01
"ACAD",-68.26019,44.376559,184.26953125,1985,1985-08-01,19.599609375,1985-01-01
"ACAD",-68.26019,44.376559,214.9501953125,1986,1986-07-01,46.509765625,1986-10-01
"ACAD",-68.26019,44.376559,215.7001953125,1987,1987-09-01,27.2802734375,1987-02-01
"ACAD",-68.26019,44.376559,246.0302734375,1988,1988-11-01,41.1904296875,1988-12-01
"ACAD",-68.26019,44.376559,216.580078125,1989,1989-05-01,53.2001953125,1989-07-01
"ACAD",-68.26019,44.376559,204.23046875,1990,1990-05-01,59.1298828125,1990-03-01
"ACAD",-68.26019,44.376559,197.6298828125,1991,1991-08-01,37.7197265625,1991-02-01
"ACAD",-68.26019,44.376559,183.01953125,1992,1992-01-01,24.8603515625,1992-05-01
